code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
ee5001,đồ án chuyên ngành,2,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
me3161,quản lý vật tư & tồn kho,3,l01_l01,55/80,v,nguyễn như phong,,,,,
ge2055,địa vật lý dầu khí &đgth,3,l01_l01,18/60,v,thái bá ngọc,,,,,
ee6115,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ci5303,phương pháp phần tử hữu hạn trong địa kỹ thuật xây dựng,5,ch01,4/20,v,nguyễn trung kiên,chưa biết,--,------,1,
ee7103,chuyên đề tiến sĩ - phần 1,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ci6101,đề án tốt nghiệp,9,ch01,17/100,v,chưa/đang phân công,chưa biết,--,------,1,
ee7149,luận án tiến sĩ - phần 3,15,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ee4063,hệ thống c/cấp điện (pbl,3,a01,9/60,v,lê minh phương,thứ 3,- - - - - - - - - 10 11 - - - - -,b2-202,1,
ch2113,hóa phân tích,3,cc01,64/60,v,trần thị kiều anh,thứ 3,- - - - - - 7 8 - - - - - - - -,b1-308,1,
ch2113,hóa phân tích,3,l01,85/85,v,lâm hoa hùng,thứ 6,- - - 4 5 - - - - - - - - - - -,h1-403,2,
tr3057,pp phân tích kết cấu tàu,3,l01_l01,22/40,v,trần hải,,,,,
tr3057,pp phân tích kết cấu tàu,3,l02_l02,39/40,v,lê đình tuân,,,,,
ee6087,luận văn thạc sĩ nghiên cứu chuyên sâu - phần 2,15,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
im4033,đồ án chuyên ngành,2,a01,0/900,v,,chưa biết,--,------,1,
im4033,đồ án chuyên ngành,2,cc01,8/60,v,,chưa biết,--,------,1,
im4033,đồ án chuyên ngành,2,l01,24/60,v,,chưa biết,--,------,2,
im4033,đồ án chuyên ngành,2,t01,0/500,v,,chưa biết,--,------,1,
en7259,chuyên đề tiến sĩ - phần 2,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
ci2105,t/kế kt kiến trúc ctdd,3,cc01,20/60,v,trần mai hương,thứ 5,- - - - 5 6 - - - - - - - - - -,b2-201,1,
ci2105,t/kế kt kiến trúc ctdd,3,l01,62/60,v,lâm ngọc mai,thứ 6,- 2 3 - - - - - - - - - - - - -,h2-505,2,
ci2105,t/kế kt kiến trúc ctdd,3,l02,61/60,v,lâm ngọc mai,thứ 6,- - - 4 5 - - - - - - - - - - -,h2-506,2,
ci3273,t/kế kiến trúc ii - ctcc,3,a01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ci3273,t/kế kiến trúc ii - ctcc,3,cc01,0/900,v,nguyễn quốc vinh,chưa biết,--,------,1,
ci3273,t/kế kiến trúc ii - ctcc,3,l01,23/900,v,nguyễn thị hương trung,chưa biết,--,------,2,
ch5749,công nghệ sản xuất sản phẩm từ sữa và thức uống pha chế,3,ch01,15/60,v,nguyễn thị quỳnh ngọc,chủ nhật,- - - - - - 7 8 9 - - - - - - -,b4-405,1,
ci4197,quy hoạch hạtầng g/thông,3,l01_l01,18/60,v,vũ việt hùng,,,,,
ge4315,đề cương luận văn tn,0,t01,1/500,v,đặng thương huyền,chưa biết,--,------,1,
me6125,đề án tốt nghiệp,9,ch01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
as6073,luận văn thạc sĩ nghiên cứu,15,ch01,0/100,v,nguyễn thanh nhã,chưa biết,--,------,1,
en2003,cac qtrinh sh trong ktmt,3,cc01,12/80,v,nguyễn nhật huy,thứ 4,- 2 3 - - - - - - - - - - - - -,b1-213,1,
en2003,cac qtrinh sh trong ktmt,3,l01,78/80,v,bùi xuân thành,thứ 3,- - - - - - - 8 9 - - - - - - -,h1-805,2,
en2003,cac qtrinh sh trong ktmt,3,l02,57/80,v,bùi xuân thành,thứ 3,- - - - - - - - - 10 11 - - - - -,h1-803,2,
as7129,tiểu luận tổng quan,0,ch01,1/60,v,,chưa biết,--,------,1,
as3015,p/pháp phầntử hữuhạn ckt,3,a01_a01,13/60,v,trương tích thiện,,,,,
as3015,p/pháp phầntử hữuhạn ckt,3,l01_l01,45/60,v,trương tích thiện,,,,,
ch4137,cn dẫn truyền thuốc dpmp,3,l01,22/60,v,hà cẩm anh,thứ 6,- - - - - - - - 9 10 - - - - - -,h2-305,2,
ee5301,mạng thông tin dữ liệu,3,ch01,15/80,v,nguyễn chí ngọc,thứ 5,- - - - - - - - - - - - 13 14 15 -,b2-202,1,
co2003,ctrúc dữliệu & giảithuật,4,a01_a01,30/40,v,lê thành sách,,,,,
co2003,ctrúc dữliệu & giảithuật,4,cc01_cc01,42/40,v,lê thành sách,,,,,
co2003,ctrúc dữliệu & giảithuật,4,cc01_cc02,41/40,v,lê thành sách,,,,,
co2003,ctrúc dữliệu & giảithuật,4,cc02_cc03,41/40,v,lê thành sách,,,,,
co2003,ctrúc dữliệu & giảithuật,4,cc02_cc04,42/40,v,lê thành sách,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l01_l01,40/40,v,võ thanh hùng,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l01_l02,40/40,v,võ thanh hùng,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l02_l03,40/40,v,võ thanh hùng,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l02_l04,40/40,v,võ thanh hùng,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l03_l05,40/40,v,trần giang sơn,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l03_l06,40/40,v,trần giang sơn,,,,,
co2003,ctrúc dữliệu & giảithuật,4,l04_l07,35/35,v,vương bá thịnh,,,,,
